patient	GATA3	FOXA1
TCGA.A2.A0YD.01	2.19425	3.18625
TCGA.BH.A0HB.01	2.0645	3.815125
TCGA.BH.A0HX.01	2.279375	3.446875
TCGA.AO.A12H.01	3.395125	5.293875
TCGA.E2.A10E.01	3.1135	4.22875
TCGA.A2.A0D3.01	2.983875	3.566125
TCGA.E2.A10F.01	2.313125	3.17625
TCGA.AO.A03V.01	2.1805	3.7345
TCGA.A2.A0EW.01	1.552	2.760875
TCGA.BH.A0GY.01	1.823125	2.22825
TCGA.A2.A0EV.01	1.71	3.179
TCGA.BH.A0BC.01	1.828375	3.374875
TCGA.A2.A0YC.01	2.251375	4.20125
TCGA.A2.A0EU.01	2.640375	3.7345
TCGA.A2.A0ET.01	2.793125	3.434875
TCGA.A2.A04Y.01	1.87025	3.588875
TCGA.BH.A0HQ.01	2.010375	3.92275
TCGA.A2.A0ES.01	0.789	2.62925
TCGA.BH.A0BA.01	2.29875	3.43975
TCGA.E2.A10B.01	2.722375	3.759125
TCGA.BH.A0B1.01	2.068625	2.8925
TCGA.BH.A0DH.01	2.3195	3.241
TCGA.BH.A0B4.01	1.86375	2.6585
TCGA.BH.A0H9.01	2.389125	3.09525
TCGA.AO.A0J9.01	1.65825	3.25175
TCGA.AO.A12G.01	1.686	2.760625
TCGA.A2.A0SY.01	2.09175	3.9205
TCGA.BH.A0E7.01	2.4945	3.79325
TCGA.AO.A03M.01	2.329875	2.98475
TCGA.BH.A0BV.01	2.27675	3.750125
TCGA.BH.A0B8.01	2.630375	3.70575
TCGA.A2.A0CZ.01	2.30575	2.583
TCGA.A2.A0SU.01	2.825625	3.865
TCGA.AO.A12E.01	1.8075	3.170125
TCGA.E2.A106.01	2.394	3.927375
TCGA.A2.A0CV.01	1.992	2.553125
TCGA.AO.A12C.01	2.549125	3.302375
TCGA.B6.A0RG.01	3.111125	3.681625
TCGA.A2.A0CS.01	3.369428571	3.909875
TCGA.A2.A0EO.01	1.80525	2.956875
TCGA.A2.A0CQ.01	2.456625	3.7225
TCGA.A2.A0EN.01	1.382875	2.860875
TCGA.AO.A12A.01	2.570375	3.036
TCGA.A2.A0CP.01	2.34725	2.57
TCGA.AO.A126.01	3.254	2.966
TCGA.AO.A125.01	2.84325	3.75825
TCGA.A2.A0EM.01	1.98825	3.67075
TCGA.A2.A04N.01	2.034	4.23775
TCGA.AQ.A04L.01	0.670625	3.210375
TCGA.B6.A0IO.01	2.334125	3.83975
TCGA.B6.A0IP.01	2.14075	3.588125
TCGA.B6.A0WZ.01	2.0375	3.471625
TCGA.B6.A0I5.01	2.6605	3.429125
TCGA.B6.A0RV.01	1.87475	3.64625
TCGA.B6.A0RO.01	1.481625	3.16675
TCGA.B6.A0RN.01	2.872	3.61225
TCGA.B6.A0WT.01	1.897125	3.74425
TCGA.B6.A0IA.01	2.507	3.17075
TCGA.B6.A0RI.01	2.24575	3.516125
TCGA.A1.A0SE.01	2.16625	3.17125
TCGA.A2.A0EX.01	1.764625	3.100875
TCGA.AO.A0JJ.01	2.32575	3.44425
TCGA.E2.A105.01	2.419	3.717125
TCGA.A1.A0SD.01	2.8705	3.38625
TCGA.A1.A0SH.01	1.3235	2.6565
TCGA.A1.A0SJ.01	1.841625	2.983125
TCGA.A8.A06P.01	1.6045	2.50625
TCGA.A8.A06T.01	2.375375	3.77875
TCGA.A8.A06Y.01	2.975125	3.514875
TCGA.A8.A07E.01	1.210625	2.898375
TCGA.A8.A07F.01	1.926625	3.476625
TCGA.A8.A07G.01	1.7355	3.064375
TCGA.A8.A07J.01	2.47175	2.82025
TCGA.A8.A07P.01	1.136	2.9545
TCGA.A8.A083.01	3.867625	4.3025
TCGA.A8.A086.01	1.814875	2.592375
TCGA.A8.A08A.01	2.41475	3.8655
TCGA.A8.A08C.01	2.650125	3.447125
TCGA.A8.A08O.01	2.413375	3.77525
TCGA.A8.A08T.01	2.28425	3.4125
TCGA.A8.A08Z.01	2.436625	3.191625
TCGA.A8.A090.01	2.420125	3.5145
TCGA.A8.A091.01	3.507375	4.348125
TCGA.A8.A093.01	2.265	3.2485
TCGA.A8.A099.01	2.345125	4.126375
TCGA.A8.A09A.01	2.356375	3.33875
TCGA.A8.A09B.01	2.38375	3.597125
TCGA.A8.A09T.01	2.037625	3.615375
TCGA.A8.A09V.01	2.51825	4.268125
TCGA.A8.A0A1.01	2.705	3.845625
TCGA.A8.A0A2.01	2.8435	4.029
TCGA.A8.A0A4.01	1.699125	3.201875
TCGA.A8.A0A6.01	1.90475	3.20175
TCGA.A8.A0AD.01	1.520375	2.91025
TCGA.AN.A03X.01	1.69175	2.811125
TCGA.AN.A046.01	1.72375	3.35025
TCGA.AN.A04A.01	1.87125	2.95525
TCGA.AN.A0FD.01	2.69875	3.1775
TCGA.AN.A0FN.01	1.244625	2.551375
TCGA.AN.A0FS.01	2.316125	4.044375
TCGA.AN.A0FT.01	2.315	3.59875
TCGA.AN.A0FW.01	1.27475	3.255375
TCGA.AN.A0FZ.01	2.37625	3.25025
TCGA.AN.A0XL.01	2.046875	3.366125
TCGA.AN.A0XN.01	0.86175	1.743625
TCGA.AN.A0XO.01	1.6745	3.429625
TCGA.AN.A0XP.01	2.569125	3.818375
TCGA.AN.A0XS.01	1.538375	3.69725
TCGA.AN.A0XT.01	2.821375	4.09225
TCGA.AN.A0XV.01	2.401625	3.593
TCGA.AR.A0TW.01	2.352375	2.80975
TCGA.AR.A1AK.01	1.66825	2.844875
TCGA.AR.A1AL.01	1.38825	3.77625
TCGA.AR.A1AN.01	1.221875	2.451125
TCGA.AR.A1AP.01	2.418875	3.24275
TCGA.AR.A1AS.01	1.72425	3.00025
TCGA.AR.A1AU.01	1.35925	2.51225
TCGA.AR.A1AW.01	1.564875	3.882125
TCGA.AR.A1AX.01	1.152375	2.314375
TCGA.BH.A0AZ.01	2.44675	2.854
TCGA.BH.A0B0.01	2.397375	3.365375
TCGA.BH.A0BM.01	2.48625	3.34475
TCGA.BH.A0BO.01	0.183625	2.12475
